RN,CCTVID,CCTVNAME,CENTERNAME,XCOORD,YCOORD
3954,E913270,[중부내륙선]모곡1교,국가교통정보센터(고속도로),128.1115411,36.69412742
3955,E913271,[중부내륙선]모곡2교,국가교통정보센터(고속도로),128.1150513,36.68924332
3956,E913272,[중부내륙선]모전,국가교통정보센터(고속도로),128.4721637,35.56941479
3957,E913273,[중부내륙선]모전육교,국가교통정보센터(고속도로),128.4664402,35.57524276
3958,E913275,[중부내륙선]문경1터널(창원)외부,국가교통정보센터(고속도로),128.0784732,36.74114994
3959,E913274,[중부내륙선]문경2터널(양평)외부,국가교통정보센터(고속도로),128.0957215,36.7231989
3960,E913276,[중부내륙선]문경SA(창원),국가교통정보센터(고속도로),128.1490021,36.62417984
3961,E913277,[중부내륙선]문경새재,국가교통정보센터(고속도로),128.1103433,36.70970201
3962,E913278,[중부내륙선]문경새재터널(양평)외부,국가교통정보센터(고속도로),128.0588741,36.74728372
3963,E913279,[중부내륙선]문경새재터널(창원)외부,국가교통정보센터(고속도로),128.0143294,36.74580397
3964,E913280,[중부내륙선]문경휴게소,국가교통정보센터(고속도로),128.1567311,36.61189162
3965,E913281,[중부내륙선]문주1교,국가교통정보센터(고속도로),127.8889649,36.91085577
3966,E913282,[중부내륙선]문촌3교,국가교통정보센터(고속도로),127.7076276,37.11105207
3967,E913283,[중부내륙선]문촌리,국가교통정보센터(고속도로),127.6939587,37.11792604
3968,E913284,[중부내륙선]별티,국가교통정보센터(고속도로),128.299429,35.89612814
3969,E913285,[중부내륙선]병산교,국가교통정보센터(고속도로),127.4588242,37.49030022
3970,E913286,[중부내륙선]병성천교,국가교통정보센터(고속도로),128.2119326,36.43888567
3971,E913287,[중부내륙선]복대리,국가교통정보센터(고속도로),127.5305675,37.35763628
3972,E913288,[중부내륙선]봉곡1교,국가교통정보센터(고속도로),128.2557831,36.25760651
3973,E913289,[중부내륙선]봉명교,국가교통정보센터(고속도로),128.2641296,36.17580032
3974,E913290,[중부내륙선]봉산1교,국가교통정보센터(고속도로),128.5051091,35.45291182
3975,E913291,[중부내륙선]봉암천교,국가교통정보센터(고속도로),128.3150815,35.88000524
3976,E913292,[중부내륙선]봉정교,국가교통정보센터(고속도로),128.2567173,36.00312634
3977,E913293,[중부내륙선]북상주,국가교통정보센터(고속도로),128.170565,36.52986266
3978,E913294,[중부내륙선]북여주,국가교통정보센터(고속도로),127.5264942,37.37325969
3979,E913295,[중부내륙선]북충주,국가교통정보센터(고속도로),127.7998459,37.0347381
3980,E913296,[중부내륙선]불정1교,국가교통정보센터(고속도로),128.1409906,36.65338805
3981,E913297,[중부내륙선]불정터널,국가교통정보센터(고속도로),128.1462999,36.63843275
3982,E913298,[중부내륙선]삼대2교,국가교통정보센터(고속도로),128.3795395,35.74682955
3983,E913299,[중부내륙선]삼승교,국가교통정보센터(고속도로),127.6265958,37.1691637
3984,E913300,[중부내륙선]삼풍교,국가교통정보센터(고속도로),127.9996633,36.754716
3985,E913301,[중부내륙선]상용1교,국가교통정보센터(고속도로),128.3511013,35.79362569
3986,E913302,[중부내륙선]상우1교,국가교통정보센터(고속도로),127.6590565,37.13108706
3987,E913303,[중부내륙선]상우리,국가교통정보센터(고속도로),127.6804428,37.12179184
3988,E913304,[중부내륙선]상주,국가교통정보센터(고속도로),128.2151267,36.41821359
3989,E913305,[중부내륙선]상주2,국가교통정보센터(고속도로),128.2133816,36.42788096
3990,E913306,[중부내륙선]새못저수지,국가교통정보센터(고속도로),128.5043894,35.44347915
3991,E913307,[중부내륙선]새못저수지2,국가교통정보센터(고속도로),128.504364,35.44445419
3992,E913308,[중부내륙선]서여주,국가교통정보센터(고속도로),127.5824347,37.30415843
3993,E913309,[중부내륙선]서여주휴게소,국가교통정보센터(고속도로),127.5792928,37.27933293
3994,E913310,[중부내륙선]선무천교,국가교통정보센터(고속도로),128.3171477,35.87266473
3995,E913311,[중부내륙선]선산,국가교통정보센터(고속도로),128.2596268,36.24397604
3996,E913312,[중부내륙선]선산휴게소,국가교통정보센터(고속도로),128.2505439,36.27547025
3997,E913313,[중부내륙선]성산,국가교통정보센터(고속도로),128.299868,35.89542051
3998,E913315,[중부내륙선]성산1교,국가교통정보센터(고속도로),128.2892392,35.8996149
3999,E913314,[중부내륙선]성산2교,국가교통정보센터(고속도로),128.2813447,35.90059273
4000,E913316,[중부내륙선]성주,국가교통정보센터(고속도로),128.2494455,35.91909365
4001,E913317,[중부내륙선]성주터널,국가교통정보센터(고속도로),128.3090953,35.88797874
4002,E913318,[중부내륙선]성주휴게소,국가교통정보센터(고속도로),128.2594224,36.00745975
4003,E913319,[중부내륙선]성주휴게소(양평),국가교통정보센터(고속도로),128.2597351,36.00798798
4004,E913320,[중부내륙선]성주휴게소(창원),국가교통정보센터(고속도로),128.2612305,36.01039886
4005,E913321,[중부내륙선]소류지,국가교통정보센터(고속도로),128.264679,36.22980499
4006,E913322,[중부내륙선]송학교,국가교통정보센터(고속도로),127.4683308,37.47963095
4007,E913323,[중부내륙선]신당,국가교통정보센터(고속도로),128.5126351,35.48240629
4008,E913324,[중부내륙선]신당육교,국가교통정보센터(고속도로),128.5108428,35.48966658
4009,E913325,[중부내륙선]신상,국가교통정보센터(고속도로),128.2285826,36.40446002
4010,E913326,[중부내륙선]신오,국가교통정보센터(고속도로),128.2231142,36.3397136
4011,E913327,[중부내륙선]신제,국가교통정보센터(고속도로),128.5042419,35.43817902
4012,E913328,[중부내륙선]신제육교,국가교통정보센터(고속도로),128.4979303,35.4310301
4013,E913329,[중부내륙선]신지리,국가교통정보센터(고속도로),127.580577,37.2911103
4014,E913330,[중부내륙선]신화2교,국가교통정보센터(고속도로),127.471456,37.47037467
4015,E913331,[중부내륙선]신효리,국가교통정보센터(고속도로),127.7875186,37.03671571
4016,E913332,[중부내륙선]안금리,국가교통정보센터(고속도로),127.5980727,37.21834597
4017,E913333,[중부내륙선]양평,국가교통정보센터(고속도로),127.4464604,37.52166279
4018,E913334,[중부내륙선]양평대교,국가교통정보센터(고속도로),127.4532881,37.49760826
4019,E913335,[중부내륙선]여주분기점,국가교통정보센터(고속도로),127.5926928,37.2249835
4020,E913336,[중부내륙선]여주분기점3,국가교통정보센터(고속도로),127.5920246,37.22663569
4021,E913337,[중부내륙선]여초,국가교통정보센터(고속도로),128.5056739,35.50566325
4022,E913338,[중부내륙선]역곡,국가교통정보센터(고속도로),128.1675568,36.53252029
4023,E913339,[중부내륙선]역곡2교,국가교통정보센터(고속도로),128.1757801,36.52139073
4024,E913340,[중부내륙선]연대리,국가교통정보센터(고속도로),127.6139754,37.18093999
4025,E913341,[중부내륙선]연대육교,국가교통정보센터(고속도로),127.6125183,37.19125366
4026,E913342,[중부내륙선]연풍,국가교통정보센터(고속도로),127.9922932,36.75911135
4027,E913343,[중부내륙선]연풍터널(양평)-외부,국가교통정보센터(고속도로),127.9844286,36.7656889
4028,E913344,[중부내륙선]연풍터널(창원),국가교통정보센터(고속도로),127.983708,36.7892593
4029,E913345,[중부내륙선]영산,국가교통정보센터(고속도로),128.5069668,35.46061415
4030,E913346,[중부내륙선]영산나들목,국가교통정보센터(고속도로),128.5058594,35.44777679
4031,E913347,[중부내륙선]영산나들목,국가교통정보센터(고속도로),128.5063931,35.44823718
4032,E913348,[중부내륙선]예동2교(창원),국가교통정보센터(고속도로),128.2620963,36.18243036
4033,E913349,[중부내륙선]예리,국가교통정보센터(고속도로),128.2594404,36.1915361
4034,E913350,[중부내륙선]오가1교,국가교통정보센터(고속도로),127.9560342,36.8402137
4035,E913351,[중부내륙선]오곡,국가교통정보센터(고속도로),128.5173231,35.27531371
4036,E913352,[중부내륙선]옥천대교,국가교통정보센터(고속도로),127.4521126,37.50937288
4037,E913353,[중부내륙선]옥포분기점3,국가교통정보센터(고속도로),128.467880249023,35.7984466552734
4038,E913354,[중부내륙선]완오리,국가교통정보센터(고속도로),127.8455429,36.98814011
4039,E913355,[중부내륙선]외평교,국가교통정보센터(고속도로),127.5199523,37.39734689
4040,E913356,[중부내륙선]용담,국가교통정보센터(고속도로),128.201255,36.47570751
4041,E913357,[중부내륙선]용봉2교,국가교통정보센터(고속도로),128.2676112,36.02431367
4042,E913358,[중부내륙선]용봉3교,국가교통정보센터(고속도로),128.2708296,36.04408535
4043,E913359,[중부내륙선]용소천교,국가교통정보센터(고속도로),128.3682939,35.77071342
4044,E913360,[중부내륙선]용전리,국가교통정보센터(고속도로),127.8434448,37.0172348
4045,E913361,[중부내륙선]용전터널,국가교통정보센터(고속도로),127.8478545,36.99504026
4046,E913362,[중부내륙선]용정교,국가교통정보센터(고속도로),128.3392433,35.8224969
4047,E913363,[중부내륙선]원부리,국가교통정보센터(고속도로),127.6369806,37.16114815
4048,E913364,[중부내륙선]월령육교,국가교통정보센터(고속도로),128.4855244,35.40986303
4049,E913365,[중부내륙선]월명,국가교통정보센터(고속도로),128.2704773,36.05044937
4050,E913366,[중부내륙선]월포1육교,국가교통정보센터(고속도로),128.4430215,35.64210238
4051,E913367,[중부내륙선]월포2교,국가교통정보센터(고속도로),128.4439512,35.62959621
4052,E913368,[중부내륙선]유곡,국가교통정보센터(고속도로),128.2215846,36.33505864
4053,E913370,[중부내륙선]유곡2,국가교통정보센터(고속도로),128.2213986,36.32667703
4054,E913369,[중부내륙선]유곡3교,국가교통정보센터(고속도로),128.2288616,36.34771638
4055,E913371,[중부내륙선]유원육교,국가교통정보센터(고속도로),128.5003815,35.30158615
4056,E913372,[중부내륙선]율극리,국가교통정보센터(고속도로),127.5586524,37.3302708
4057,E913373,[중부내륙선]이방,국가교통정보센터(고속도로),128.4463628,35.61715438
4058,E913374,[중부내륙선]이안,국가교통정보센터(고속도로),128.1495647,36.58007791
4059,E913375,[중부내륙선]이안천교,국가교통정보센터(고속도로),128.149322509765,36.5410194396972
4060,E913376,[중부내륙선]자양,국가교통정보센터(고속도로),128.2349634,35.97054786
4061,E913377,[중부내륙선]자양교,국가교통정보센터(고속도로),128.2347538,35.97193269
4062,E913378,[중부내륙선]장연,국가교통정보센터(고속도로),127.9814379,36.79378041
4063,E913379,[중부내륙선]장연터널(양평),국가교통정보센터(고속도로),127.9598497,36.82592001
4064,E913380,[중부내륙선]장연터널(양평)-외부,국가교통정보센터(고속도로),127.9824637,36.79201051
4065,E913381,[중부내륙선]장연터널(양평12고정),국가교통정보센터(고속도로),127.9635251,36.81899069
4066,E913382,[중부내륙선]장연터널(양평5고정),국가교통정보센터(고속도로),127.9638705,36.8185998
4067,E913383,[중부내륙선]장연터널(창원12고정),국가교통정보센터(고속도로),127.9769796,36.80046295
4068,E913384,[중부내륙선]장연터널(창원5고정),국가교통정보센터(고속도로),127.9768098,36.80054179
4069,E913385,[중부내륙선]점촌함창,국가교통정보센터(고속도로),128.1544489,36.58578473
4070,E913386,[중부내륙선]조곡리,국가교통정보센터(고속도로),127.9073051,36.87232088
4071,E913387,[중부내륙선]조곡터널,국가교통정보센터(고속도로),127.8976058,36.87783399
4072,E913388,[중부내륙선]조곡터널(양평)-외부,국가교통정보센터(고속도로),127.8916419,36.8940294
4073,E913389,[중부내륙선]주진,국가교통정보센터(고속도로),128.0126463,36.74596818
4074,E913390,[중부내륙선]중원터널,국가교통정보센터(고속도로),127.7204201,37.08605947
4075,E913391,[중부내륙선]중원터널(양평)-외부,국가교통정보센터(고속도로),127.723375,37.07067542
4076,E913392,[중부내륙선]지당리,국가교통정보센터(고속도로),127.7152265,37.10140162
4077,E913393,[중부내륙선]지산리,국가교통정보센터(고속도로),128.1487732,36.56714249
4078,E913394,[중부내륙선]직교,국가교통정보센터(고속도로),128.4770203,35.53956223
4079,E913395,[중부내륙선]진남터널(창원외부),국가교통정보센터(고속도로),128.1245399,36.67468158
4080,E913396,[중부내륙선]창녕,국가교통정보센터(고속도로),128.4763509,35.54383883
4081,E913397,[중부내륙선]창녕낙동강교,국가교통정보센터(고속도로),128.4906331,35.39035693
4082,E913398,[중부내륙선]창녕분기점,국가교통정보센터(고속도로),128.507812,35.46602073
4083,E913399,[중부내륙선]창락육교,국가교통정보센터(고속도로),128.499254,35.52487233
4084,E913400,[중부내륙선]청계,국가교통정보센터(고속도로),128.4975885,35.33543743
4085,E913401,[중부내륙선]초막골,국가교통정보센터(고속도로),128.5068359,35.51384354
4086,E913402,[중부내륙선]추점리,국가교통정보센터(고속도로),127.9405494,36.85880405
4087,E913403,[중부내륙선]추점터널양평외부,국가교통정보센터(고속도로),127.9504026,36.84821177
4088,E913404,[중부내륙선]추점터널창원외부,국가교통정보센터(고속도로),127.9454328,36.85327567
4089,E913405,[중부내륙선]충주,국가교통정보센터(고속도로),127.8468103,36.97740491
4090,E913406,[중부내륙선]충주분기점1,국가교통정보센터(고속도로),127.7390201,37.04338576
4091,E913407,[중부내륙선]충주휴게소,국가교통정보센터(고속도로),127.836779,37.02373167
4092,E913408,[중부내륙선]칠서,국가교통정보센터(고속도로),128.5052027,35.32484029
4093,E913409,[중부내륙선]칠서휴게소,국가교통정보센터(고속도로),128.4961328,35.36935893
4094,E913410,[중부내륙선]칠원분기점,국가교통정보센터(고속도로),128.5010439,35.29243785
4095,E913411,[중부내륙선]칠원영업소,국가교통정보센터(고속도로),128.5153202,35.27872642
4096,E913412,[중부내륙선]탄용터널,국가교통정보센터(고속도로),127.861105,36.93283092
4097,E913413,[중부내륙선]탐하,국가교통정보센터(고속도로),128.4817033,35.532695
4098,E913414,[중부내륙선]태곡육교,국가교통정보센터(고속도로),128.4916484,35.35184841
4099,E913415,[중부내륙선]토평천교,국가교통정보센터(고속도로),128.4711726,35.55861497
4100,E913416,[중부내륙선]퇴천교,국가교통정보센터(고속도로),128.5015015,35.52016477
4101,E913417,[중부내륙선]평지,국가교통정보센터(고속도로),128.468977,35.59831744
4102,E913418,[중부내륙선]하구암1교,국가교통정보센터(고속도로),127.824379,37.03084946
4103,E913419,[중부내륙선]하구암리,국가교통정보센터(고속도로),127.81809,37.03353676
4104,E913420,[중부내륙선]한포천,국가교통정보센터(고속도로),127.7639974,37.04052034
4105,E913421,[중부내륙선]헌신2교,국가교통정보센터(고속도로),128.2223663,36.41151047
4106,E913422,[중부내륙선]현풍,국가교통정보센터(고속도로),128.4347167,35.67408025
4107,E913423,[중부내륙선]현풍분기점,국가교통정보센터(고속도로),128.4320007,35.6802001
4108,E913424,[중부내륙선]현풍졸음쉼터,국가교통정보센터(고속도로),128.4378659,35.66238194
4109,E913425,[중부내륙선]호계,국가교통정보센터(고속도로),128.5184174,35.26347733
4110,E913426,[중부내륙선]회산육교,국가교통정보센터(고속도로),128.5008792,35.31950233
4111,E913427,[중부내륙선]효정,국가교통정보센터(고속도로),128.4738623,35.55119744
4112,E913428,[중부내륙선]흑암1교,국가교통정보센터(고속도로),128.1465897,36.5561956
4113,E913429,[중부내륙지선](구)달성터널,국가교통정보센터(고속도로),128.475833,35.754283
4114,E913430,[중부내륙지선][현풍]달성1터널(현풍5),국가교통정보센터(고속도로),128.479645,35.748938
4115,E913431,[중부내륙지선]구달성터널공단로,국가교통정보센터(고속도로),128.435928344726,35.6974029541015
4116,E913432,[중부내륙지선]남대구,국가교통정보센터(고속도로),128.5290527,35.83972
4117,E913433,[중부내륙지선]논공남리,국가교통정보센터(고속도로),128.453369140625,35.7186012268066
4118,E913434,[중부내륙지선]논공단지,국가교통정보센터(고속도로),128.4616069,35.72649721
4119,E913435,[중부내륙지선]달성,국가교통정보센터(고속도로),128.4746517,35.76829813
4120,E913436,[중부내륙지선]달성2터널,국가교통정보센터(고속도로),128.478154,35.730793
4121,E913437,[중부내륙지선]본리,국가교통정보센터(고속도로),128.469375610351,35.728229522705
4122,E913438,[중부내륙지선]서대구,국가교통정보센터(고속도로),128.531192,35.875374
4123,E913439,[중부내륙지선]서대구2,국가교통정보센터(고속도로),128.528060913085,35.8823127746582
4124,E913440,[중부내륙지선]성서,국가교통정보센터(고속도로),128.52141,35.8508
4125,E913442,[중부내륙지선]성서2,국가교통정보센터(고속도로),128.5224609375,35.8482780456542
4126,E913441,[중부내륙지선]성서3,국가교통정보센터(고속도로),128.523544311523,35.8467063903808
4127,E913443,[중부내륙지선]송촌,국가교통정보센터(고속도로),128.4715313,35.77735211
4128,E913444,[중부내륙지선]옥포분기점,국가교통정보센터(고속도로),128.46868,35.78447
4129,E913445,[중부내륙지선]옥포분기점2,국가교통정보센터(고속도로),128.464065551757,35.7941932678222
4130,E913446,[중부내륙지선]용산2,국가교통정보센터(고속도로),128.530518,35.869046
4131,E913447,[중부내륙지선]용산동,국가교통정보센터(고속도로),128.5310054,35.86941392
4132,E913448,[중부내륙지선]월암,국가교통정보센터(고속도로),128.517551,35.826892
4133,E913450,[중부내륙지선]유천,국가교통정보센터(고속도로),128.501007,35.810781
4134,E913449,[중부내륙지선]유천하이패스IC,국가교통정보센터(고속도로),128.511663,35.820476
4135,E913451,[중부내륙지선]현풍1육교,국가교통정보센터(고속도로),128.4461532,35.715092
4136,E913452,[중부내륙지선]현풍휴게소,국가교통정보센터(고속도로),128.4375332,35.705092
4137,E913453,[중부내륙지선]화원,국가교통정보센터(고속도로),128.483995,35.801141
4138,E913454,[중부선(통영대전)]갈전,국가교통정보센터(고속도로),127.850357055664,35.4623908996582
4139,E913455,[중부선(통영대전)]경호강2교,국가교통정보센터(고속도로),127.87147,35.406912
4140,E913456,[중부선(통영대전)]굴암,국가교통정보센터(고속도로),127.589,36.001
4141,E913457,[중부선(통영대전)]내동,국가교통정보센터(고속도로),128.070129394531,35.1561737060546
4142,E913458,[중부선(통영대전)]대곡,국가교통정보센터(고속도로),127.627204895019,35.7050170898437
4143,E913459,[중부선(통영대전)]대암2교,국가교통정보센터(고속도로),127.485,36.166
4144,E913460,[중부선(통영대전)]독산(방음),국가교통정보센터(고속도로),128.065909,35.161082
4145,E913461,[중부선(통영대전)]매계,국가교통정보센터(고속도로),127.612754821777,35.7805519104003
4146,E913462,[중부선(통영대전)]범학,국가교통정보센터(고속도로),127.91143,35.381861
4147,E913463,[중부선(통영대전)]서창교,국가교통정보센터(고속도로),127.663,35.947
4148,E913464,[중부선(통영대전)]세천교,국가교통정보센터(고속도로),127.477027893066,36.3272628784179
4149,E913465,[중부선(통영대전)]송산,국가교통정보센터(고속도로),128.379562377929,34.9774742126464
4150,E913466,[중부선(통영대전)]시목2교,국가교통정보센터(고속도로),127.7731,35.594
4151,E913467,[중부선(통영대전)]어전2교,국가교통정보센터(고속도로),127.61,35.783
4152,E913468,[중부선(통영대전)]오동2교,국가교통정보센터(고속도로),127.623,35.707
4153,E913469,[중부선(통영대전)]육십령터널(13/15)_대전,국가교통정보센터(고속도로),127.6591187,35.68611526
4154,E913470,[중부선(통영대전)]육십령터널(15/15)_통영,국가교통정보센터(고속도로),127.6300812,35.70310974
4155,E913471,[중부선(통영대전)]특리,국가교통정보센터(고속도로),127.858406066894,35.4326515197753
4156,E913472,[중부선(통영대전)]평촌,국가교통정보센터(고속도로),127.840362548828,35.4739761352539
4157,E913473,[중부선(통영대전)]현내2교,국가교통정보센터(고속도로),127.56,36.045
4158,E913474,[중부선(통영대전)]황리,국가교통정보센터(고속도로),128.401580810546,34.9575614929199
4159,E913475,[중부선]가림교,국가교통정보센터(고속도로),127.659,35.964
4160,E913476,[중부선]가산교,국가교통정보센터(고속도로),127.476895,36.920598
4161,E913477,[중부선]경기광주분기점1,국가교통정보센터(고속도로),127.315711975097,37.3812294006347
4162,E913478,[중부선]곤지암,국가교통정보센터(고속도로),127.3210716,37.35232946
4163,E913479,[중부선]곤지암JCT,국가교통정보센터(고속도로),127.3407598,37.31984939
4164,E913480,[중부선]광주,국가교통정보센터(고속도로),127.2692883,37.44809903
4165,E913481,[중부선]광지원2교,국가교통정보센터(고속도로),127.25556,37.45323054
4166,E913483,[중부선]낙타고개1,국가교통정보센터(고속도로),127.4450252,37.11929898
4167,E913482,[중부선]낙타고개2,국가교통정보센터(고속도로),127.4386452,37.14540898
4168,E913484,[중부선]남이육교,국가교통정보센터(고속도로),127.420143127441,36.6016044616699
4169,E913485,[중부선]남이천,국가교통정보센터(고속도로),127.44123459,37.18186031
4170,E913486,[중부선]남촌교,국가교통정보센터(고속도로),127.4247436,36.68428875
4171,E913487,[중부선]농다리,국가교통정보센터(고속도로),127.49169921875,36.826358795166
4172,E913488,[중부선]농다리쉼터(남이),국가교통정보센터(고속도로),127.494361877441,36.8350868225097
4173,E913489,[중부선]늑현육교,국가교통정보센터(고속도로),127.317286,37.369572
4174,E913490,[중부선]대소,국가교통정보센터(고속도로),127.472549,36.942621
4175,E913491,[중부선]대소분기점,국가교통정보센터(고속도로),127.474075317382,36.9360923767089
4176,E913492,[중부선]대소분기점2,국가교통정보센터(고속도로),127.470223,36.95332728
4177,E913493,[중부선]대소쉼터(하남),국가교통정보센터(고속도로),127.469139099121,36.9776306152343
4178,E913494,[중부선]동서울영업소,국가교통정보센터(고속도로),127.221494,37.51773
4179,E913495,[중부선]마장분기점,국가교통정보센터(고속도로),127.413327,37.255659
4180,E913496,[중부선]매계2교,국가교통정보센터(고속도로),127.59,35.76
4181,E913497,[중부선]매촌1교,국가교통정보센터(고속도로),127.8606873,35.41931534
4182,E913499,[중부선]모가,국가교통정보센터(고속도로),127.4404726,37.16832113
4183,E913498,[중부선]모가졸음쉼터,국가교통정보센터(고속도로),127.4435326,37.19804113
4184,E913500,[중부선]목리교,국가교통정보센터(고속도로),127.4027,37.2675
4185,E913501,[중부선]무금,국가교통정보센터(고속도로),127.5743492,36.02994774
4186,E913502,[중부선]미잠육교,국가교통정보센터(고속도로),127.4773882,36.92178982
4187,E913503,[중부선]미호천,국가교통정보센터(고속도로),127.428452,36.698582
4188,E913504,[중부선]백곡천교,국가교통정보센터(고속도로),127.4940843,36.83801098
4189,E913505,[중부선]백천2교,국가교통정보센터(고속도로),127.7827835,35.52039337
4190,E913506,[중부선]번천졸음쉼터,국가교통정보센터(고속도로),127.2616895,37.45046688
4191,E913507,[중부선]비하,국가교통정보센터(고속도로),127.419167,36.633333
4192,E913508,[중부선]비하2,국가교통정보센터(고속도로),127.4177933,36.64008713
4193,E913509,[중부선]산곡분기점,국가교통정보센터(고속도로),127.246548,37.475601
4194,E913510,[중부선]산서,국가교통정보센터(고속도로),127.453,36.278
4195,E913511,[중부선]삼성,국가교통정보센터(고속도로),127.4818344,37.01679611
4196,E913512,[중부선]삼호교,국가교통정보센터(고속도로),127.466603,36.968321
4197,E913513,[중부선]상산곡,국가교통정보센터(고속도로),127.2403052,37.48569532
4198,E913514,[중부선]상산곡교,국가교통정보센터(고속도로),127.2372552,37.49375532
4199,E913515,[중부선]서이천,국가교통정보센터(고속도로),127.3913327,37.27722252
4200,E913516,[중부선]서청주,국가교통정보센터(고속도로),127.4205121,36.64988245
4201,E913517,[중부선]석곡교,국가교통정보센터(고속도로),127.4193773,36.61530722
4202,E913518,[중부선]송갈교,국가교통정보센터(고속도로),127.43944,37.21083
4203,E913519,[중부선]신월천교,국가교통정보센터(고속도로),127.30472,37.41083
4204,E913520,[중부선]신월천교2,국가교통정보센터(고속도로),127.30036,37.417358
4205,E913521,[중부선]안평,국가교통정보센터(고속도로),127.419052124023,37.2509231567382
4206,E913522,[중부선]여천교,국가교통정보센터(고속도로),127.507293701171,36.7800064086914
4207,E913523,[중부선]오창,국가교통정보센터(고속도로),127.4428036,36.71455875
4208,E913524,[중부선]오창분기점,국가교통정보센터(고속도로),127.4611588,36.73928833
4209,E913525,[중부선]오창쉼터(남이),국가교통정보센터(고속도로),127.454948425292,36.7329292297363
4210,E913526,[중부선]오창쉼터(하남),국가교통정보센터(고속도로),127.458137512207,36.7366294860839
4211,E913527,[중부선]오창휴게소,국가교통정보센터(고속도로),127.4764136,36.7519577
4212,E913528,[중부선]요광교,국가교통정보센터(고속도로),127.48,36.2
4213,E913529,[중부선]용면,국가교통정보센터(고속도로),127.3575,37.30694
4214,E913530,[중부선]용면교,국가교통정보센터(고속도로),127.36611,37.29639
4215,E913531,[중부선]월광2교,국가교통정보센터(고속도로),127.6,35.73
4216,E913532,[중부선]월정교,국가교통정보센터(고속도로),127.445907592773,37.0987091064453
4217,E913533,[중부선]은암,국가교통정보센터(고속도로),127.5075236,36.79158552
4218,E913534,[중부선]음성휴게소,국가교통정보센터(고속도로),127.4830273,37.02471113
4219,E913535,[중부선]이천휴게소,국가교통정보센터(고속도로),127.404499,37.2649
4220,E913536,[중부선]일죽,국가교통정보센터(고속도로),127.4511868,37.09061221
4221,E913537,[중부선]일죽쉼터(남이),국가교통정보센터(고속도로),127.459327697753,37.0811538696289
4222,E913538,[중부선]일죽쉼터(하남),국가교통정보센터(고속도로),127.458686828613,37.0818977355957
4223,E913539,[중부선]장암,국가교통정보센터(고속도로),127.4642368,37.07588221
4224,E913540,[중부선]장암1,국가교통정보센터(고속도로),127.466384887695,37.073013305664
4225,E913543,[중부선]중부1터널,국가교통정보센터(고속도로),127.2515958,37.45990371
4226,E913542,[중부선]중부2터널,국가교통정보센터(고속도로),127.28722,37.44028
4227,E913541,[중부선]중부3터널,국가교통정보센터(고속도로),127.2969444,37.4275
4228,E913544,[중부선]중석육교,국가교통정보센터(고속도로),127.490593,36.84820557
4229,E913545,[중부선]증평,국가교통정보센터(고속도로),127.5022436,36.7713977
4230,E913546,[중부선]증평1,국가교통정보센터(고속도로),127.4941387,36.76628116
4231,E913547,[중부선]진우,국가교통정보센터(고속도로),127.3445526,37.31759059
4232,E913548,[중부선]진주분기점2,국가교통정보센터(고속도로),128.10225,35.137195
4233,E913550,[중부선]진천,국가교통정보센터(고속도로),127.4757182,36.86873982
4234,E913549,[중부선]진천(구)졸음쉼터,국가교통정보센터(고속도로),127.485389709472,36.8550987243652
4235,E913552,[중부선]진천1,국가교통정보센터(고속도로),127.4780556,36.86194444
4236,E913551,[중부선]진천2,국가교통정보센터(고속도로),127.475435,36.866204
4237,E913553,[중부선]진천터널(남이1),국가교통정보센터(고속도로),127.5034027,36.80607986
4238,E913554,[중부선]진천터널2,국가교통정보센터(고속도로),127.493133544921,36.811466217041
4239,E913555,[중부선]진천터널외부(남이),국가교통정보센터(고속도로),127.494514,36.810586
4240,E913556,[중부선]진천터널외부(하남),국가교통정보센터(고속도로),127.507255554199,36.7988853454589
4241,E913557,[중부선]천현,국가교통정보센터(고속도로),127.220895,37.51912097
4242,E913558,[중부선]천현2,국가교통정보센터(고속도로),127.2059806,37.53168889
4243,E913559,[중부선]청용,국가교통정보센터(고속도로),127.4794205,37.0046564
4244,E913560,[중부선]초월1,국가교통정보센터(고속도로),127.312278747558,37.3943634033203
4245,E913561,[중부선]초평교,국가교통정보센터(고속도로),127.4908333,36.81638889
4246,E913562,[중부선]평동육교,국가교통정보센터(고속도로),127.423713684082,36.661148071289
4247,E913563,[중부선]하가,국가교통정보센터(고속도로),127.66,35.925
4248,E913564,[중부선]하남,국가교통정보센터(고속도로),127.21623,37.530307
4249,E913565,[중부선]하산곡,국가교통정보센터(고속도로),127.22583,37.50972
4250,E913566,[중부선]호법분기점,국가교통정보센터(고속도로),127.428684,37.230641
4251,E913567,[중부선]호법분기점2,국가교통정보센터(고속도로),127.4287796,37.22925568
4252,E913568,[중부선]호티2교,국가교통정보센터(고속도로),127.5,36.11
4253,E913569,[중부선]화봉육교,국가교통정보센터(고속도로),127.4763158,37.0502221
4254,E913570,[중부선]화봉육교1,국가교통정보센터(고속도로),127.477104187011,37.0459403991699
4255,E913571,[중부선]화산,국가교통정보센터(고속도로),127.489151000976,36.7637748718261
4256,E913572,[중부선]후안2교,국가교통정보센터(고속도로),127.43167,37.22028
4257,E913573,[중앙선][부산]죽령터널(부산외부1),국가교통정보센터(고속도로),128.409105,36.910006
4258,E913574,[중앙선][부산]죽령터널(부산외부2),국가교통정보센터(고속도로),128.457912,36.895317
